feature,value,id,kind
batter,687952,251,categorical
batter,680574,252,categorical
batter,600869,253,categorical
batter,641584,254,categorical
batter,674441,255,categorical
batter,502054,256,categorical
batter,668804,257,categorical
batter,669364,258,categorical
batter,693304,259,categorical
batter,672640,260,categorical
batter,665052,261,categorical
batter,682848,262,categorical
batter,663647,263,categorical
batter,643396,264,categorical
batter,688363,265,categorical
batter,669065,266,categorical
batter,665833,267,categorical
batter,663698,268,categorical
batter,457705,269,categorical
batter,681146,270,categorical
batter,670223,271,categorical
batter,656537,272,categorical
batter,663743,273,categorical
batter,667472,274,categorical
batter,624428,275,categorical
batter,608385,276,categorical
batter,683146,277,categorical
batter,664913,278,categorical
batter,456781,279,categorical
batter,664238,280,categorical
batter,641598,281,categorical
batter,649966,282,categorical
batter,669397,283,categorical
batter,518792,284,categorical
batter,677950,285,categorical
batter,645444,286,categorical
batter,693307,287,categorical
batter,605131,288,categorical
batter,689414,289,categorical
batter,676572,290,categorical
batter,664770,291,categorical
batter,622761,292,categorical
batter,676914,293,categorical
batter,641680,294,categorical
batter,665750,295,categorical
batter,686668,296,categorical
batter,678662,297,categorical
batter,669911,298,categorical
batter,678554,299,categorical
batter,696100,300,categorical
batter,605361,301,categorical
batter,666624,302,categorical
batter,643376,303,categorical
batter,687597,304,categorical
batter,666139,305,categorical
batter,676356,306,categorical
batter,670764,307,categorical
batter,571657,308,categorical
batter,650490,309,categorical
batter,592178,310,categorical
batter,691406,311,categorical
batter,666018,312,categorical
batter,676609,313,categorical
batter,664040,314,categorical
batter,578428,315,categorical
batter,650559,316,categorical
batter,543877,317,categorical
batter,681508,318,categorical
batter,666134,319,categorical
batter,682177,320,categorical
batter,642350,321,categorical
batter,701305,322,categorical
batter,676801,323,categorical
batter,643289,324,categorical
batter,666152,325,categorical
batter,665966,326,categorical
batter,677649,327,categorical
batter,663853,328,categorical
batter,669398,329,categorical
batter,545341,330,categorical
batter,681460,331,categorical
batter,642136,332,categorical
batter,642708,333,categorical
batter,624641,334,categorical
